Date,Open,High,Low,Close,Volume
2020-06-04,63.93,64.74,63.52,64.13,81669942
2020-06-05,63.86,64.45,63.85,64.15,100265734
2020-06-08,64.06,64.77,63.77,64.27,168535838
2020-06-09,66.98,67.44,66.9,67.17,66140618
2020-06-10,66.8,68.24,65.74,66.99,91311148
2020-06-11,67.71,67.7,67.12,67.41,38975931
2020-06-12,67.02,67.59,67.26,67.42,30805922
2020-06-15,66.14,66.72,65.39,66.06,112437688
2020-06-16,67.91,68.5,66.44,67.47,80019097
2020-06-17,68.25,69.74,67.14,68.44,128495581
2020-06-18,69.2,70.61,68.32,69.47,46299366
2020-06-19,68.3,69.32,67.45,68.39,98736066
2020-06-22,70.61,70.58,69.75,70.17,169358298
2020-06-23,68.52,70.34,66.56,68.45,94857112
2020-06-24,69.03,69.65,68.81,69.23,89579100
2020-06-25,72.2,72.16,71.87,72.02,80472207
2020-06-26,70.37,71.97,69.61,70.79,42782830
2020-06-29,70.38,71.64,68.6,70.12,137926180
2020-06-30,70.46,71.87,68.74,70.31,62812015
2020-07-01,69.61,70.63,68.81,69.72,98128980
2020-07-02,67.53,68.58,67.08,67.83,42917330
2020-07-03,67.65,68.41,67.54,67.97,50034140
2020-07-06,66.92,67.29,66.17,66.73,142383539
2020-07-07,67.8,67.75,66.95,67.35,69795429
2020-07-08,66.06,66.87,65.7,66.29,143423190
2020-07-09,68.36,68.19,68.19,68.19,77726571
2020-07-10,66.53,67.41,67.16,67.28,38387440
2020-07-13,66.74,67.28,66.62,66.95,114584951
2020-07-14,67.97,68.49,67.47,67.98,63340980
2020-07-15,66.2,67.22,65.84,66.53,106055757
2020-07-16,66.52,66.92,66.79,66.86,81010096
2020-07-17,68.24,69.57,67.39,68.48,43260593
2020-07-20,66.66,67.38,65.73,66.56,85644700
2020-07-21,66.76,66.97,66.69,66.83,193055690
2020-07-22,66.38,67.72,66.68,67.2,97678749
2020-07-23,67.41,69.57,66.82,68.2,78373224
2020-07-24,66.51,66.79,66.67,66.73,123300788
2020-07-27,65.36,65.28,65.11,65.2,87248191
2020-07-28,64.89,66.94,64.79,65.86,87208616
2020-07-29,66.09,66.72,65.82,66.27,51823275
2020-07-30,66.43,67.36,65.88,66.62,88060902
2020-07-31,67.59,68.43,65.75,67.09,121348528
2020-08-03,66.18,67.2,65.45,66.32,57401163
2020-08-04,66.79,67.07,66.23,66.65,141781589
2020-08-05,67.11,67.22,66.89,67.06,77308741
2020-08-06,65.49,66.93,65.56,66.25,56226132
2020-08-07,68.81,68.8,68.25,68.53,119526998
2020-08-10,69.25,69.98,68.35,69.16,71505312
2020-08-11,67.92,69.12,66.36,67.74,108667786
2020-08-12,70.05,69.74,67.45,68.59,71363461
2020-08-13,66.68,67.8,67.09,67.44,78300891
2020-08-14,69.09,69.28,67.63,68.45,97701168
2020-08-17,69.83,70.04,69.83,69.94,90093522
2020-08-18,69.06,70.28,67.64,68.96,36099417
2020-08-19,70.19,70.45,69.96,70.21,51212925
2020-08-20,70.62,70.9,70.67,70.79,116309348
2020-08-21,71.67,72.25,71.53,71.89,76068542
2020-08-24,74.54,75.68,73.12,74.4,65039639
2020-08-25,73.53,74.54,73.72,74.13,46574809
2020-08-26,73.48,73.61,72.77,73.19,52070309
2020-08-27,71.91,72.98,71.16,72.07,35722115
2020-08-28,70.64,73.28,68.87,71.07,77013224
2020-08-31,70.86,71.05,71.01,71.03,63124843
2020-09-01,72.01,72.89,70.16,71.52,54481123
2020-09-02,71.73,73.23,70.65,71.94,78041448
2020-09-03,73.21,73.43,72.71,73.07,92765768
2020-09-04,72.85,73.62,72.67,73.14,185261550
2020-09-07,75.42,75.49,74.73,75.11,43804479
2020-09-08,75.09,75.62,74.01,74.82,127516001
2020-09-09,79.32,78.8,78.28,78.54,118359909
2020-09-10,79.41,80.14,78.83,79.49,58724225
2020-09-11,78.61,79.36,77.29,78.32,86989187
2020-09-14,76.92,76.96,76.79,76.88,66782170
2020-09-15,78.15,77.78,77.44,77.61,86380752
2020-09-16,77.06,78.09,76.62,77.36,146663646
2020-09-17,78.73,79.11,77.71,78.41,102179588
2020-09-18,79.06,79.34,78.95,79.14,98291031
2020-09-21,79.08,79.42,78.79,79.1,67516074
2020-09-22,78.0,78.73,77.19,77.96,44294777
2020-09-23,76.0,76.56,75.24,75.9,73781067
2020-09-24,75.3,76.56,74.13,75.35,129947783
2020-09-25,76.66,76.79,76.34,76.57,43537485
2020-09-28,77.58,76.94,76.91,76.93,52586198
2020-09-29,75.66,75.87,74.65,75.26,84351832
2020-09-30,75.91,77.54,73.58,75.56,54088820
2020-10-01,75.95,76.87,75.41,76.14,58409588
2020-10-02,74.63,75.59,74.39,74.99,67697551
2020-10-05,75.65,75.49,75.03,75.26,46443776
2020-10-06,75.75,75.45,75.34,75.4,54317187
2020-10-07,74.49,74.32,73.49,73.91,106256991
2020-10-08,74.2,75.7,73.19,74.44,47538577
2020-10-09,75.16,75.68,74.82,75.25,42323419
2020-10-12,76.1,77.44,76.12,76.78,62332281
2020-10-13,78.13,79.36,77.24,78.3,107476438
2020-10-14,76.83,76.66,76.18,76.42,74122617
2020-10-15,75.0,76.29,74.09,75.19,66596832
2020-10-16,76.21,76.33,75.56,75.95,81632948
2020-10-19,76.63,76.74,76.68,76.71,39893223
2020-10-20,77.62,78.83,76.13,77.48,97745943
2020-10-21,82.4,83.96,81.88,82.92,93490839
2020-10-22,83.88,84.5,83.17,83.84,68085621
2020-10-23,84.23,86.37,84.87,85.62,119924124
2020-10-26,87.07,87.34,86.97,87.16,51085004
2020-10-27,87.47,89.34,87.15,88.25,125920787
2020-10-28,88.39,88.78,86.85,87.82,85309592
2020-10-29,89.46,89.15,89.03,89.09,70096187
2020-10-30,88.14,88.33,87.51,87.92,79562270
2020-11-02,88.33,88.27,86.96,87.61,76829104
2020-11-03,86.47,87.09,86.75,86.92,130660531
2020-11-04,87.94,87.46,86.77,87.12,52134024
2020-11-05,91.27,91.63,90.0,90.82,59114825
2020-11-06,87.72,87.92,87.76,87.84,121390254
2020-11-09,89.54,90.02,87.96,88.99,63198177
2020-11-10,85.96,89.21,83.75,86.48,114973615
2020-11-11,85.43,86.22,85.41,85.81,158263890
2020-11-12,87.28,88.42,86.71,87.57,68290552
2020-11-13,87.49,89.98,85.5,87.74,105323268
2020-11-16,85.61,87.04,85.17,86.1,50552506
2020-11-17,85.63,85.63,84.5,85.06,108460143
2020-11-18,86.05,88.09,84.26,86.17,86856648
2020-11-19,85.27,85.13,85.09,85.11,96902445
2020-11-20,85.25,86.18,84.84,85.51,61945849
2020-11-23,84.81,85.82,85.48,85.65,41266708
2020-11-24,84.84,85.97,83.45,84.71,98080666
2020-11-25,87.14,88.66,87.43,88.05,35132554
2020-11-26,89.09,89.89,88.35,89.12,70636658
2020-11-27,85.31,86.39,85.5,85.95,116858311
2020-11-30,87.23,87.19,85.41,86.3,86595559
2020-12-01,85.76,85.46,85.23,85.34,174832172
2020-12-02,86.77,88.24,85.2,86.72,120847945
2020-12-03,86.14,85.85,85.26,85.55,61739880
2020-12-04,85.06,85.68,85.21,85.45,81078254
2020-12-07,86.54,86.56,86.02,86.29,78691973
2020-12-08,87.8,89.19,86.22,87.71,42589968
2020-12-09,86.0,86.7,85.06,85.88,55054845
2020-12-10,86.02,85.5,85.36,85.43,64083382
2020-12-11,85.11,84.94,84.6,84.77,35516637
2020-12-14,83.97,86.73,80.95,83.84,81735369
2020-12-15,85.8,86.85,86.29,86.57,72592434
2020-12-16,86.82,87.98,86.56,87.27,41072215
2020-12-17,85.31,85.75,84.97,85.36,94271091
2020-12-18,86.88,87.92,85.76,86.84,106787250
2020-12-21,89.68,90.34,90.12,90.23,87821226
2020-12-22,93.17,93.4,90.55,91.98,70447106
2020-12-23,90.27,90.42,88.65,89.53,101602313
2020-12-24,89.11,89.47,88.18,88.83,105275169
2020-12-25,90.96,92.76,89.08,90.92,90690342
2020-12-28,89.73,90.88,88.79,89.84,57664661
2020-12-29,90.16,91.06,90.19,90.63,89579791
2020-12-30,92.0,93.23,90.69,91.96,129370670
2020-12-31,90.63,90.57,90.44,90.5,63170525
2021-01-01,89.87,91.31,89.64,90.48,185613244
2021-01-04,85.42,85.72,84.82,85.27,64990237
2021-01-05,83.7,84.53,83.0,83.77,81243616
2021-01-06,82.59,84.03,82.87,83.45,61282554
2021-01-07,81.27,82.55,80.74,81.65,87689115
2021-01-08,83.92,84.41,83.81,84.11,39948885
2021-01-11,82.85,82.37,81.65,82.01,64461794
2021-01-12,81.67,82.27,80.59,81.43,51812993
2021-01-13,81.1,82.06,81.31,81.68,84658437
2021-01-14,84.09,85.74,82.0,83.87,119374832
2021-01-15,81.09,82.71,80.83,81.77,103844222
2021-01-18,84.03,83.57,83.52,83.55,31057045
2021-01-19,83.42,84.9,82.35,83.63,181511189
2021-01-20,82.18,82.29,82.15,82.22,90251608
2021-01-21,83.56,83.37,82.56,82.97,58785180
2021-01-22,82.75,84.29,82.37,83.33,85399531
2021-01-25,81.87,82.88,82.12,82.5,86053170
2021-01-26,82.41,82.83,82.5,82.67,61420886
2021-01-27,82.62,83.03,81.28,82.16,86804295
2021-01-28,81.72,83.45,81.34,82.39,62897129
2021-01-29,82.16,85.77,81.11,83.44,68220468
2021-02-01,85.68,86.43,85.35,85.89,60945363
2021-02-02,84.3,84.34,83.75,84.04,45214639
2021-02-03,87.91,87.52,87.16,87.34,85014687
2021-02-04,84.13,84.66,84.02,84.34,101352974
2021-02-05,83.99,84.48,83.87,84.18,98538061
2021-02-08,85.67,85.41,84.86,85.14,111325633
2021-02-09,84.77,85.79,85.48,85.63,91306823
2021-02-10,84.57,85.95,83.54,84.74,64806068
2021-02-11,84.58,85.41,83.57,84.49,112208078
2021-02-12,84.01,84.84,82.78,83.81,46594496
2021-02-15,82.76,84.17,81.81,82.99,55936710
2021-02-16,84.34,84.43,84.22,84.32,54533184
2021-02-17,83.79,86.88,82.99,84.93,123533437
2021-02-18,83.64,84.49,83.39,83.94,116933435
2021-02-19,85.58,86.56,84.17,85.37,97457027
2021-02-22,85.45,85.93,85.89,85.91,123132546
2021-02-23,87.26,88.18,86.29,87.24,56417327
2021-02-24,88.51,88.78,87.81,88.29,92196990
2021-02-25,86.89,87.84,86.26,87.05,76280678
2021-02-26,86.32,86.75,85.73,86.24,112532524
2021-03-01,87.01,87.69,87.24,87.47,76584886
2021-03-02,88.4,88.85,88.15,88.5,68752444
2021-03-03,88.83,88.91,88.16,88.54,99569196
2021-03-04,88.87,89.68,87.91,88.79,113858575
2021-03-05,90.62,92.49,89.32,90.91,61384131
2021-03-08,90.12,90.33,89.7,90.01,78261765
2021-03-09,91.32,92.17,89.77,90.97,52515753
2021-03-10,89.71,92.2,89.22,90.71,29525817
2021-03-11,91.0,91.4,89.45,90.43,86892636
2021-03-12,92.12,92.72,91.86,92.29,102314518
2021-03-15,93.95,94.14,93.33,93.74,89060522
2021-03-16,95.8,95.21,95.16,95.18,36769355
2021-03-17,96.77,98.45,96.54,97.5,69696469
2021-03-18,97.24,97.95,97.27,97.61,33021218
2021-03-19,98.73,100.15,97.63,98.89,138707844
2021-03-22,98.0,99.68,97.15,98.41,51938878
2021-03-23,99.99,99.56,98.57,99.07,132509042
2021-03-24,98.46,99.13,98.7,98.91,117077639
2021-03-25,98.87,99.47,98.86,99.17,55938523
2021-03-26,100.42,100.59,100.03,100.31,50977046
2021-03-29,98.27,99.54,98.28,98.91,92262477
2021-03-30,102.49,103.24,102.19,102.71,57211780
2021-03-31,101.11,101.89,99.99,100.94,83553178
2021-04-01,98.63,100.25,97.37,98.81,66112537
2021-04-02,100.9,101.09,100.81,100.95,39331513
2021-04-05,102.18,104.62,100.32,102.47,32861515
2021-04-06,102.85,104.82,102.58,103.7,87808924
2021-04-07,105.14,105.73,104.19,104.96,64062959
2021-04-08,106.01,105.6,104.44,105.02,64280319
2021-04-09,103.42,103.61,103.21,103.41,105935982
2021-04-12,103.76,104.02,103.24,103.63,128235235
2021-04-13,102.83,102.99,101.91,102.45,71914042
2021-04-14,103.62,105.05,103.62,104.33,69982832
2021-04-15,105.1,105.39,102.89,104.14,97958767
2021-04-16,102.79,103.13,102.22,102.67,46605344
2021-04-19,103.06,102.43,101.9,102.16,87684983
2021-04-20,102.6,103.75,102.26,103.0,100007364
2021-04-21,103.04,104.13,99.95,102.04,105275584
2021-04-22,101.03,100.76,100.47,100.61,36958230
2021-04-23,101.44,102.2,100.07,101.13,59142354
2021-04-26,101.79,102.88,100.45,101.66,56440339
2021-04-27,100.68,100.95,100.68,100.81,83466405
2021-04-28,100.69,102.39,97.69,100.04,97201609
2021-04-29,100.61,101.46,99.62,100.54,145936793
2021-04-30,96.96,98.56,97.43,98.0,65792328
2021-05-03,95.02,95.69,95.5,95.59,65723755
2021-05-04,94.34,94.77,94.1,94.43,127021739
2021-05-05,94.3,94.34,93.95,94.15,90298442
2021-05-06,94.72,95.47,94.02,94.75,133159818
2021-05-07,97.98,97.8,96.88,97.34,90015388
2021-05-10,97.88,99.47,98.37,98.92,50483310
2021-05-11,98.79,98.99,98.44,98.72,47051281
2021-05-12,97.79,99.55,97.97,98.76,43115585
2021-05-13,97.46,97.7,96.41,97.06,104512865
2021-05-14,97.05,98.08,96.12,97.1,129014934
2021-05-17,96.9,97.81,95.54,96.68,168045419
2021-05-18,96.86,97.88,96.75,97.32,112362648
2021-05-19,96.61,96.78,95.11,95.94,127692479
2021-05-20,97.46,97.3,96.53,96.92,63591696
2021-05-21,99.98,101.65,97.69,99.67,50497463
2021-05-24,99.48,99.79,99.31,99.55,112676533
2021-05-25,100.67,100.73,99.97,100.35,94780315
2021-05-26,101.29,101.7,101.66,101.68,83719103
2021-05-27,101.49,101.36,100.7,101.03,93638163
2021-05-28,102.42,102.39,100.64,101.52,91264659
2021-05-31,102.21,103.39,99.85,101.62,134023637
2021-06-01,101.48,103.04,100.72,101.88,134623726
2021-06-02,100.74,101.7,99.38,100.54,99701187
2021-06-03,99.97,101.7,99.64,100.67,112483955
2021-06-04,101.97,103.53,99.77,101.65,98505704
2021-06-07,104.64,104.51,104.27,104.39,66687768
2021-06-08,105.2,106.47,106.08,106.27,108539624
2021-06-09,109.78,110.56,110.39,110.48,45910388
2021-06-10,108.87,110.41,107.67,109.04,122247302
2021-06-11,110.66,111.95,109.73,110.84,49733575
2021-06-14,110.57,111.58,111.01,111.29,89910142
2021-06-15,116.01,116.99,114.55,115.77,57192790
2021-06-16,114.33,114.8,113.56,114.18,100067507
2021-06-17,112.43,112.77,112.31,112.54,79116334
2021-06-18,110.96,112.62,110.21,111.42,42376207
2021-06-21,107.86,110.38,104.12,107.25,94894836
2021-06-22,107.27,107.1,105.54,106.32,63645023
2021-06-23,104.68,105.69,104.21,104.95,114085495
2021-06-24,104.97,107.4,103.24,105.32,80239805
2021-06-25,106.33,106.64,105.47,106.05,93940146
2021-06-28,109.51,111.35,108.09,109.72,54678023
2021-06-29,111.6,111.85,111.52,111.68,63355172
2021-06-30,111.05,111.75,109.47,110.61,66755319
2021-07-01,107.79,110.81,107.02,108.91,112975438
2021-07-02,110.75,111.53,108.4,109.96,156873582
2021-07-05,107.48,109.34,105.54,107.44,58114821
2021-07-06,110.82,111.96,110.18,111.07,123375024
2021-07-07,113.46,113.61,113.42,113.51,33670378
2021-07-08,112.62,114.59,110.7,112.65,49740211
2021-07-09,108.24,109.55,108.97,109.26,54651576
2021-07-12,112.92,113.03,110.99,112.01,46687943
2021-07-13,111.9,114.49,109.25,111.87,42565926
2021-07-14,114.73,114.67,114.24,114.45,94602982
2021-07-15,111.83,111.41,111.11,111.26,73615997
2021-07-16,109.54,110.8,109.49,110.15,93340267
2021-07-19,110.53,110.3,110.2,110.25,105707782
2021-07-20,110.27,112.45,108.41,110.43,89187084
2021-07-21,110.12,110.36,108.89,109.62,104333730
2021-07-22,109.66,111.17,110.71,110.94,77997480
2021-07-23,108.84,109.77,108.02,108.9,49883589
2021-07-26,108.35,110.25,107.15,108.7,122439265
2021-07-27,109.28,109.75,108.31,109.03,63360750
2021-07-28,110.4,110.17,110.08,110.12,55160709
2021-07-29,111.2,112.14,111.1,111.62,74688213
2021-07-30,109.03,110.27,108.63,109.45,55665750
2021-08-02,106.45,108.13,104.9,106.52,67864786
2021-08-03,108.52,109.15,108.95,109.05,92029668
2021-08-04,110.29,111.58,108.01,109.79,92187646
2021-08-05,108.18,109.29,107.51,108.4,56000320
2021-08-06,109.76,111.61,111.41,111.51,65983670
2021-08-09,111.61,113.59,110.07,111.83,123250965
2021-08-10,113.66,114.68,113.92,114.3,97812217
2021-08-11,113.52,115.46,113.6,114.53,183922681
2021-08-12,118.07,119.28,118.46,118.87,128578641
2021-08-13,122.79,124.5,120.94,122.72,126748735
2021-08-16,123.14,124.74,119.79,122.27,46032240
2021-08-17,124.71,124.66,124.35,124.5,108856835
2021-08-18,125.64,126.27,125.83,126.05,78511626
2021-08-19,129.57,130.19,128.32,129.26,64334544
2021-08-20,126.8,127.41,126.82,127.11,85772254
2021-08-23,128.3,129.83,127.74,128.78,117046823
2021-08-24,130.52,131.79,130.89,131.34,97985751
2021-08-25,126.08,128.38,126.19,127.29,56435586
2021-08-26,124.42,126.13,123.23,124.68,107928935
2021-08-27,120.31,120.23,120.17,120.2,62144009
2021-08-30,119.65,122.17,117.26,119.72,87458350
2021-08-31,121.09,121.44,121.28,121.36,71033345
2021-09-01,124.1,125.69,123.78,124.74,73474833
2021-09-02,125.41,127.05,122.96,125.0,108960630
2021-09-03,127.85,131.28,126.26,128.77,52900455
2021-09-06,126.2,127.82,123.52,125.67,174612192
2021-09-07,121.26,122.27,121.57,121.92,38708337
2021-09-08,121.4,122.56,121.22,121.89,63144286
2021-09-09,121.86,124.93,120.74,122.83,92997647
2021-09-10,122.53,124.05,121.67,122.86,101313037
2021-09-13,119.01,119.0,117.77,118.39,77038026
2021-09-14,118.62,118.48,118.1,118.29,78377207
2021-09-15,116.22,117.62,113.6,115.61,94510361
2021-09-16,117.42,118.23,115.96,117.09,73117055
2021-09-17,117.26,118.3,117.62,117.96,140016734
2021-09-20,115.85,117.18,114.94,116.06,112193951
2021-09-21,114.59,117.75,112.4,115.08,113706342
2021-09-22,113.79,113.85,112.1,112.98,54490520
2021-09-23,112.21,113.2,112.68,112.94,77690584
2021-09-24,115.53,116.2,113.75,114.97,71115339
2021-09-27,113.57,113.18,112.86,113.02,53637523
2021-09-28,115.27,114.23,114.05,114.14,92624632
2021-09-29,112.89,113.42,112.87,113.14,64678648
2021-09-30,112.05,112.4,110.83,111.62,104235313
2021-10-01,112.87,111.7,111.29,111.49,52269489
2021-10-04,109.14,110.03,108.98,109.5,159509851
2021-10-05,107.6,109.78,107.22,108.5,56033872
2021-10-06,105.17,107.87,104.63,106.25,87550027
2021-10-07,110.51,110.21,109.97,110.09,110082839
2021-10-08,109.13,110.27,110.23,110.25,63830636
2021-10-11,108.73,109.78,108.11,108.95,112784272
2021-10-12,109.71,109.73,109.18,109.45,49048813
2021-10-13,109.43,110.45,108.2,109.32,143356784
2021-10-14,109.22,109.31,108.64,108.97,80652447
2021-10-15,110.4,110.99,109.54,110.26,63176025
2021-10-18,112.63,112.29,111.42,111.86,71151878
2021-10-19,110.31,112.25,109.51,110.88,110836611
2021-10-20,109.42,109.95,109.69,109.82,63478884
2021-10-21,108.91,109.4,109.32,109.36,59426863
2021-10-22,105.39,105.15,104.68,104.92,73396393
2021-10-25,102.64,102.28,102.0,102.14,50084150
2021-10-26,104.99,106.86,102.61,104.73,166119432
2021-10-27,108.61,108.56,107.28,107.92,63939134
2021-10-28,106.84,107.63,107.41,107.52,111847479
2021-10-29,109.7,108.91,108.54,108.72,87206378
2021-11-01,110.32,110.63,108.21,109.42,54091433
2021-11-02,116.03,117.15,113.99,115.57,80006474
2021-11-03,119.13,119.1,116.89,117.99,109737434
2021-11-04,116.76,119.05,116.58,117.82,74379837
2021-11-05,115.56,116.42,115.35,115.88,129248204
2021-11-08,112.18,113.41,111.84,112.63,120674350
2021-11-09,113.57,115.3,110.96,113.13,115822098
2021-11-10,111.05,113.12,110.24,111.68,66728138
2021-11-11,109.35,109.99,107.83,108.91,52068099
2021-11-12,108.53,108.89,106.56,107.73,62743463
2021-11-15,106.11,106.48,104.95,105.72,86746130
2021-11-16,109.18,110.65,107.37,109.01,99763673
2021-11-17,110.24,111.13,110.53,110.83,33644879
2021-11-18,110.4,111.25,110.56,110.9,79937426
2021-11-19,114.71,114.27,113.63,113.95,85432375
2021-11-22,114.68,114.36,114.03,114.2,71770371
2021-11-23,112.49,113.5,111.53,112.52,134423999
2021-11-24,115.43,116.68,114.7,115.69,94935856
2021-11-25,115.63,119.11,114.7,116.91,135445074
2021-11-26,114.15,116.43,113.2,114.82,73560282
2021-11-29,115.7,116.57,112.46,114.52,116685285
2021-11-30,112.02,114.06,111.54,112.8,154240951
2021-12-01,110.2,111.42,108.75,110.08,135526449
2021-12-02,112.62,113.33,110.69,112.01,51812571
2021-12-03,115.16,116.46,115.43,115.95,72458864
2021-12-06,113.23,114.47,111.77,113.12,69855132
2021-12-07,114.94,114.62,114.09,114.36,97533046
2021-12-08,113.12,113.49,112.73,113.11,105533756
2021-12-09,113.95,113.15,111.26,112.21,57336210
2021-12-10,110.1,112.67,109.53,111.1,82403247
2021-12-13,110.09,111.11,107.81,109.46,35748864
2021-12-14,109.54,110.31,108.98,109.65,142774640
2021-12-15,108.54,108.34,107.85,108.09,65335775
2021-12-16,108.97,110.68,106.73,108.71,82009493
2021-12-17,108.27,109.64,107.75,108.7,70854576
2021-12-20,108.45,109.44,107.19,108.31,126836705
2021-12-21,105.56,108.49,104.77,106.63,25777109
2021-12-22,105.95,107.02,104.2,105.61,79666192
2021-12-23,107.3,107.82,106.45,107.13,76873555
2021-12-24,108.56,108.21,108.15,108.18,66889023
